mark,model,vollume,power
KTM,150 EXC,149.0,17.666666666666668
KTM,150 SX,149.0,27.0
KTM,200 Duke,200.0,22.40909090909091
KTM,250 Adventure,249.71428571428572,26.142857142857142
KTM,250 Duke,249.6,31.0
KTM,250 EXC,249.82608695652175,27.52173913043478
KTM,250 EXC F,249.90322580645162,22.967741935483872
KTM,250 SX,250.0,30.5
KTM,250 SX F,249.76190476190476,31.142857142857142
KTM,300 EXC,297.4,34.15
KTM,300 SX,293.1666666666667,47.666666666666664
KTM,350 EXC F,349.88461538461536,30.653846153846153
KTM,350 SX F,349.92857142857144,24.785714285714285
KTM,390 Adventure,476.6111111111111,34.333333333333336
KTM,390 Adventure SW,375.27272727272725,43.72727272727273
KTM,390 Duke,453.36,40.94
KTM,450 EXC,450.0,70.0
KTM,450 EXC F,449.92857142857144,33.0
KTM,450 SMR,450.0,42.333333333333336
KTM,450 SX F,449.7692307692308,42.0
KTM,50 SX,49.857142857142854,4.714285714285714
KTM,500 EXC F,503.85714285714283,35.38095238095238
KTM,525 EXC,517.5,25.5
KTM,560 SMR,560.0,65.0
KTM,625 SMC,625.0,50.0
KTM,640 Adventure,628.5714285714286,30.571428571428573
KTM,640 Duke,640.0,54.0
KTM,640 LC4 Supermoto,635.0,38.666666666666664
KTM,65 SX,65.0,13.0
KTM,660 SMC,250.0,1.0
KTM,690 Duke,688.2,54.45
KTM,690 Duke R,692.5,38.0
KTM,690 Enduro,650.0,53.0
KTM,690 Enduro R,690.3214285714286,55.107142857142854
KTM,690 SM,680.75,48.0
KTM,690 SMC,680.0,63.8
KTM,690 SMC R,690.0,45.214285714285715
KTM,790 Adventure,790.0,103.0
KTM,790 Adventure R,793.6,57.2
KTM,790 Duke,769.2142857142857,44.785714285714285
KTM,85 SX,85.0,16.90909090909091
KTM,890 Adventure,889.8125,105.0
KTM,890 Adventure R,890.4166666666666,105.0
KTM,890 Adventure R Rally,890.0,105.0
KTM,890 Duke,881.6,91.3
KTM,890 Duke GP,889.7142857142857,106.85714285714286
KTM,890 Duke R,890.0,107.66666666666667
KTM,890 SMT,889.4666666666667,101.0
KTM,950 Adventure,960.0,74.25
KTM,950 SM,950.0,1.0
KTM,990 Adventure,992.5454545454545,91.36363636363636
KTM,990 SM,996.3333333333334,118.0
KTM,990 Super Duke,986.6428571428571,78.35714285714286
KTM,Freeride 250,249.5,13.0
KTM,Freeride 350,350.0,19.75
KTM,Freeride E,1.0,22.0
KTM,RC 200,200.0,26.0
KTM,RC 390,380.3181818181818,38.13636363636363
Kawasaki,250 TR,250.0,19.0
Kawasaki,BJ250 Estrella,249.33333333333334,20.0
Kawasaki,D-tracker 250,250.0,20.857142857142858
Kawasaki,EL125 Eliminator,124.0,12.0
Kawasaki,EL250 Eliminator,286.75,25.5
Kawasaki,EN400 Vulcan,400.0,40.0
Kawasaki,EN500 Vulcan,500.0,50.0
Kawasaki,EN650 Vulcan S,649.8484848484849,50.21212121212121
Kawasaki,ER-4f (Ninja 400R),399.8125,38.15625
Kawasaki,ER-4n,400.0,36.55555555555556
Kawasaki,ER-5,499.0,30.5
Kawasaki,ER-6f (Ninja 650R),649.3483146067416,66.49438202247191
Kawasaki,ER-6n,648.6521739130435,61.15217391304348
Kawasaki,EX-4,399.5,41.5
Kawasaki,GPX 250,250.0,40.0
Kawasaki,GPZ 1000,1000.0,1.0
Kawasaki,GPZ 400,400.0,72.66666666666667
Kawasaki,GPZ 500,516.6666666666666,40.333333333333336
Kawasaki,GTR 1000 (ZG1000 Concours),1000.0,98.0
Kawasaki,GTR 1400 (Concours 14),1397.2307692307693,149.19230769230768
Kawasaki,KDX 125,125.0,24.0
Kawasaki,KDX 200,200.0,17.0
Kawasaki,KDX 220,220.0,1.0
Kawasaki,KDX 250,254.5,20.5
Kawasaki,KL 250,249.66666666666666,19.75
Kawasaki,KLE 250,249.33333333333334,17.333333333333332
Kawasaki,KLE 400,399.6666666666667,28.333333333333332
Kawasaki,KLE 500,500.0,48.0
Kawasaki,KLR 250,250.0,1.0
Kawasaki,KLR 650,650.0,47.0
Kawasaki,KLX 110,112.0,7.0
Kawasaki,KLX 125,125.0,10.0
Kawasaki,KLX 150,144.0,12.0
Kawasaki,KLX 230,230.0,1.0
Kawasaki,KLX 250,251.04761904761904,22.523809523809526
Kawasaki,KLX 450,450.0,56.0
Kawasaki,KSR 110,110.0,28.666666666666668
Kawasaki,KX 250,250.72727272727272,29.90909090909091
Kawasaki,KX 450,456.14285714285717,44.42857142857143
